area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_num,price_inr,price_per_sqft,is_ready
Built-up  Area,Ready To Move,Anandapura,4 BHK,,1475,2.0,1.0,50.0,4,1475.0,5000000.0,3389.830508474576,1
Super built-up  Area,18-Dec,Kudlu Gate,3 BHK,Sanzaat,1564 - 1850,3.0,2.0,99.745,3,1707.0,9974500.0,5843.2923257176335,0
Super built-up  Area,Ready To Move,Hagadur,2 BHK,SSoraba,1110,2.0,2.0,51.0,2,1110.0,5100000.0,4594.594594594595,1
Plot  Area,18-Apr,Popular Colony,2 Bedroom,,1300,2.0,0.0,54.0,2,1300.0,5400000.0,4153.846153846154,0
Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.35,2,1128.0,6534999.999999999,5793.439716312056,0
Super built-up  Area,22-May,Jakkur,2 BHK,SoineC ,1452.19,2.0,1.0,100.0,2,1452.19,10000000.0,6886.151261198604,0
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,2400,3.0,2.0,290.0,3,2400.0,29000000.0,12083.333333333334,1
Super built-up  Area,18-Jul,Banashankari,3 BHK,Rallse ,2600,4.0,1.0,135.0,3,2600.0,13500000.0,5192.307692307692,0
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2500,4.0,2.0,325.0,3,2500.0,32500000.0,13000.0,1
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,,630,1.0,1.0,35.0,2,630.0,3500000.0,5555.555555555556,1
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,,1243,2.0,2.0,48.5,2,1243.0,4850000.0,3901.850362027353,1
Built-up  Area,Ready To Move,Soundarya Layout,2 BHK,Goe 3la,960,2.0,2.0,32.0,2,960.0,3200000.0,3333.3333333333335,1
Super built-up  Area,Ready To Move,"Banashankari 6th Stage ,Subramanyapura",3 BHK,,1690,3.0,2.0,100.0,3,1690.0,10000000.0,5917.15976331361,1
Built-up  Area,Ready To Move,Whitefield,2 BHK,JahanSa,735,2.0,1.0,35.0,2,735.0,3500000.0,4761.9047619047615,1
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1365,2.0,2.0,73.0,2,1365.0,7300000.0,5347.985347985348,1
Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,Pumesim,2849,5.0,0.0,300.0,5,2849.0,30000000.0,10530.01053001053,1
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2.0,1.0,99.39,2,1420.0,9939000.0,6999.295774647887,1
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1570,3.0,3.0,68.0,3,1570.0,6800000.0,4331.210191082802,1
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,850,1.0,1.0,32.0,2,850.0,3200000.0,3764.705882352941,1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2.0,2.0,110.0,3,1575.0,11000000.0,6984.126984126984,1
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,104.0,2,1418.0,10400000.0,7334.273624823695,1
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1050,2.0,1.0,42.0,2,1050.0,4200000.0,4000.0,1
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,GSideS ,1065,2.0,1.0,42.6,2,1065.0,4260000.0,4000.0,1
Built-up  Area,Ready To Move,Ulsoor,3 BHK,,1340,3.0,0.0,90.0,3,1340.0,9000000.0,6716.417910447762,1
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,,1610,3.0,2.0,92.0,3,1610.0,9200000.0,5714.285714285715,1
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1160,2.0,1.0,33.5,2,1160.0,3350000.0,2887.9310344827586,0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1092,2.0,2.0,44.0,2,1092.0,4400000.0,4029.3040293040294,1
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2.0,2.0,47.0,2,1194.0,4700000.0,3936.348408710218,1
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Apows M,1455,3.0,1.0,61.5,3,1455.0,6150000.0,4226.80412371134,1
Super built-up  Area,18-Jun,Abbigere,1 BHK,DSestma,734,1.0,0.0,19.82,1,734.0,1982000.0,2700.272479564033,0
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,799,2.0,1.0,38.0,2,799.0,3800000.0,4755.944931163955,1
Built-up  Area,Ready To Move,Whitefield,3 BHK,,1896,3.0,1.0,75.0,3,1896.0,7500000.0,3955.6962025316457,1
Super built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2.0,1.0,48.0,2,1100.0,4800000.0,4363.636363636364,1
Built-up  Area,Ready To Move,Bellandur,2 BHK,,1350,2.0,1.0,79.0,2,1350.0,7900000.0,5851.851851851852,1
Super built-up  Area,Ready To Move,Amarjyothi Colony,3 BHK,,1355,3.0,1.0,61.0,3,1355.0,6100000.0,4501.845018450184,1
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.0,2,1128.0,6500000.0,5762.41134751773,0
Plot  Area,Ready To Move,Pattanagere,2 Bedroom,,1350,2.0,0.0,90.0,2,1350.0,9000000.0,6666.666666666667,1
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,Lelia M,3875,3.0,2.0,864.0,3,3875.0,86400000.0,22296.774193548386,1
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1493,3.0,2.0,82.0,3,1493.0,8200000.0,5492.297387809779,1
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,1098,2.0,1.0,43.91,2,1098.0,4391000.0,3999.089253187614,1
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1900,2.0,1.0,170.0,3,1900.0,17000000.0,8947.368421052632,1
Super built-up  Area,Ready To Move,Dollars Layout,3 BHK,Sancya ,1460,3.0,2.0,88.0,3,1460.0,8800000.0,6027.397260273972,1
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,,2350,4.0,3.0,285.0,3,2350.0,28500000.0,12127.659574468085,1
Plot  Area,Ready To Move,Horamavu Banaswadi,5 Bedroom,,1600,5.0,3.0,140.0,5,1600.0,14000000.0,8750.0,1
Super built-up  Area,Ready To Move,Varthur,2 BHK,Hirio L,1091,2.0,1.0,32.0,2,1091.0,3200000.0,2933.0889092575617,1
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Inurave,1180,2.0,3.0,42.0,2,1180.0,4200000.0,3559.322033898305,1
Super built-up  Area,19-Dec,Kanakpura Road,2 BHK,PrityFa,1366,3.0,1.0,76.85,2,1366.0,7684999.999999999,5625.915080527086,0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,DSureSi,1685,3.0,2.0,95.0,3,1685.0,9500000.0,5637.982195845697,1
Built-up  Area,Ready To Move,Koramangala,2 BHK,Gencysi,1260,2.0,3.0,100.0,2,1260.0,10000000.0,7936.507936507936,1
Plot  Area,Ready To Move,Whitefield,3 Bedroom,Chpana ,3010,3.0,2.0,200.0,3,3010.0,20000000.0,6644.518272425249,1
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1330,4.0,1.0,140.0,3,1330.0,14000000.0,10526.315789473685,1
Plot  Area,Ready To Move,Mallasandra,2 Bedroom,,1200,2.0,0.0,130.0,2,1200.0,13000000.0,10833.333333333334,1
Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1346,2.0,1.0,96.17,2,1346.0,9617000.0,7144.873699851411,0
Super built-up  Area,18-Aug,Chandapura,1 BHK,Dhowsyo,630,1.0,0.0,13.86,1,630.0,1386000.0,2200.0,0
Super built-up  Area,19-May,Sarjapur  Road,3 BHK,Klark L,1446 - 1506,3.0,2.0,98.94,3,1476.0,9894000.0,6703.252032520325,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,2.0,140.0,3,1850.0,14000000.0,7567.5675675675675,1
Plot  Area,Ready To Move,Frazer Town,5 Bedroom,,2350,2.0,0.0,423.0,5,2350.0,42300000.0,18000.0,1
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,755,1.0,1.0,34.0,2,755.0,3400000.0,4503.311258278146,1
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2.0,2.0,46.0,2,1194.0,4600000.0,3852.5963149078725,1
Super built-up  Area,18-Feb,Whitefield,3 BHK,BrlisCo,3850,5.0,2.0,316.0,3,3850.0,31600000.0,8207.792207792209,0
Super built-up  Area,18-Jul,Hebbal,4 BHK,Cehosy ,4235,4.0,2.0,365.0,4,4235.0,36500000.0,8618.654073199528,0
Plot  Area,18-Apr,Kurubarahalli,1 Bedroom,,800,1.0,0.0,52.0,1,800.0,5200000.0,6500.0,0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,1.0,195.0,3,2250.0,19500000.0,8666.666666666666,1
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Rancy R,1352,2.0,2.0,68.0,2,1352.0,6800000.0,5029.585798816568,1
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2002,3.0,2.0,112.0,3,2002.0,11200000.0,5594.4055944055945,1
Plot  Area,Ready To Move,Bileshivale,4 Bedroom,FeowsMe,4000,5.0,1.0,280.0,4,4000.0,28000000.0,7000.0,1
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,KuncyRe,1060,2.0,2.0,45.0,2,1060.0,4500000.0,4245.2830188679245,1
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1419.59,2.0,1.0,59.0,3,1419.59,5900000.0,4156.129586711656,1
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2.0,2.0,51.15,2,1196.0,5115000.0,4276.755852842809,1
Built-up  Area,18-Dec,Electronic City,3 BHK,,1220,2.0,2.0,35.24,3,1220.0,3524000.0,2888.5245901639346,0
Super built-up  Area,18-Apr,Electronics City Phase 1,3 BHK,Shitt S,1595,3.0,2.0,75.0,3,1595.0,7500000.0,4702.194357366771,0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Goeesem,1260,2.0,3.0,75.0,2,1260.0,7500000.0,5952.380952380952,1
Super built-up  Area,Ready To Move,Hebbal,2 BHK,,1100,2.0,2.0,47.0,2,1100.0,4700000.0,4272.727272727273,1
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,Asneren,1550,2.0,2.0,140.0,2,1550.0,14000000.0,9032.258064516129,1
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1180,2.0,3.0,52.0,2,1180.0,5200000.0,4406.779661016949,1
Plot  Area,18-Dec,Electronic City,4 Bedroom,Janaala,4000,5.0,1.0,150.0,4,4000.0,15000000.0,3750.0,0
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3.0,2.0,85.0,3,1662.0,8500000.0,5114.320096269555,1
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1285,2.0,1.0,60.0,2,1285.0,6000000.0,4669.260700389105,1
Plot  Area,Ready To Move,Akshaya Nagar,4 Bedroom,,1080,4.0,1.0,75.0,4,1080.0,7500000.0,6944.444444444444,1
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1862,3.0,2.0,119.0,3,1862.0,11900000.0,6390.977443609023,1
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2.0,2.0,48.0,2,1419.0,4800000.0,3382.663847780127,1
Built-up  Area,14-Nov,Whitefield,3 BHK,,1410,3.0,2.0,43.71,3,1410.0,4371000.0,3100.0,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,PrrvaPl,1560,2.0,2.0,62.4,3,1560.0,6240000.0,4000.0,1
Plot  Area,Ready To Move,Chikkabettahalli,5 Bedroom,,1100,4.0,3.0,150.0,5,1100.0,15000000.0,13636.363636363636,1
Super built-up  Area,19-Nov,Thanisandra,3 BHK,Bhe 2ko,1634,3.0,3.0,78.0,3,1634.0,7800000.0,4773.561811505508,0
Plot  Area,Ready To Move,Ambedkar Nagar,5 Bedroom,Thessrm,5530,5.0,3.0,627.0,5,5530.0,62700000.0,11338.155515370705,1
Built-up  Area,Ready To Move,Whitefield,3 BHK,,1150,2.0,3.0,44.0,3,1150.0,4400000.0,3826.086956521739,1
Super built-up  Area,18-May,Ashirvad Colony,2 BHK,,1100,2.0,1.0,53.0,2,1100.0,5300000.0,4818.181818181818,0
Super built-up  Area,19-Mar,Yelahanka,3 BHK,,1616,3.0,1.0,65.0,3,1616.0,6500000.0,4022.2772277227723,0
Super built-up  Area,17-Dec,Nagavarapalya,2 BHK,PuonsSe,1392,2.0,1.0,99.0,2,1392.0,9900000.0,7112.068965517241,0
Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,1798,3.0,1.0,120.0,3,1798.0,12000000.0,6674.082313681869,0
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,Veisear,1675,3.0,3.0,75.0,3,1675.0,7500000.0,4477.611940298508,1
Plot  Area,Ready To Move,Bhuvaneswari Nagar,2 Bedroom,,792,2.0,1.0,70.0,2,792.0,7000000.0,8838.38383838384,1
Super built-up  Area,Ready To Move,Varanasi,5 BHK,,2000,4.0,1.0,103.0,5,2000.0,10300000.0,5150.0,1
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1700,3.0,2.0,124.0,3,1700.0,12400000.0,7294.117647058823,0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Vandak ,1248,2.0,1.0,69.0,2,1248.0,6900000.0,5528.846153846154,1
Built-up  Area,Ready To Move,Kalkere,2 BHK,Sanetra,1147,2.0,1.0,54.0,2,1147.0,5400000.0,4707.933740191805,1
Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,HintsAp,1100,2.0,2.0,40.0,2,1100.0,4000000.0,3636.3636363636365,1
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Rancy R,1527,3.0,2.0,115.0,3,1527.0,11500000.0,7531.106745252128,1
Plot  Area,Ready To Move,Shantiniketan Layout,5 Bedroom,,2400,5.0,2.0,235.0,5,2400.0,23500000.0,9791.666666666666,1
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,25.0,1,525.0,2500000.0,4761.9047619047615,0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,RohtsHe,1100,2.0,3.0,58.0,2,1100.0,5800000.0,5272.727272727273,1
Super built-up  Area,17-Dec,Seegehalli,2 BHK,,1118,2.0,2.0,37.5,2,1118.0,3750000.0,3354.2039355992843,0
Super built-up  Area,20-Dec,Kanakapura,3 BHK,,1476,3.0,1.0,75.0,3,1476.0,7500000.0,5081.30081300813,0
Built-up  Area,Ready To Move,Gopal Reddy Layout,3 BHK,Krestee,2100,3.0,1.0,75.0,3,2100.0,7500000.0,3571.4285714285716,1
Super built-up  Area,18-Apr,Roopena Agrahara,3 BHK,,1215,2.0,2.0,46.5,3,1215.0,4650000.0,3827.1604938271603,0
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,Dimes E,1332,2.0,1.0,79.0,2,1332.0,7900000.0,5930.930930930931,1
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,,1350,2.0,3.0,49.0,2,1350.0,4900000.0,3629.6296296296296,1
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0,2,1243.0,4600000.0,3700.7240547063557,1
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1105,2.0,2.0,49.73,2,1105.0,4973000.0,4500.4524886877825,1
Plot  Area,Ready To Move,Padmanabhanagar,3 Bedroom,,1500,2.0,1.0,200.0,3,1500.0,20000000.0,13333.333333333334,1
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,TRensre,1200,2.0,2.0,50.0,2,1200.0,5000000.0,4166.666666666667,1
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1251,2.0,1.0,47.4,2,1251.0,4740000.0,3788.968824940048,0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2.0,1.0,45.0,2,883.0,4500000.0,5096.262740656852,1
Super built-up  Area,Ready To Move,Pai Layout,3 BHK,Tencyes,1400,2.0,3.0,67.0,3,1400.0,6700000.0,4785.714285714285,1
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1800,3.0,3.0,260.0,3,1800.0,26000000.0,14444.444444444445,1
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Soiniy ,1703,3.0,2.0,113.0,3,1703.0,11300000.0,6635.3493834409865,1
Super built-up  Area,Ready To Move,NRI Layout,5 BHK,,2500,5.0,3.0,130.0,5,2500.0,13000000.0,5200.0,1
Super built-up  Area,Ready To Move,Varthur,3 BHK,,1250,3.0,2.0,71.0,3,1250.0,7100000.0,5680.0,1
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,933,2.0,2.0,43.0,2,933.0,4300000.0,4608.788853161844,1
Plot  Area,Ready To Move,sankeswari,1 Bedroom,,461.82,1.0,1.0,31.7,1,461.82,3170000.0,6864.146204148803,1
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Mapleer,1262,2.0,1.0,75.0,2,1262.0,7500000.0,5942.947702060222,1
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,915,2.0,2.0,48.0,2,915.0,4800000.0,5245.901639344263,1
Super built-up  Area,Ready To Move,Panathur,3 BHK,Saite G,1370,2.0,2.0,61.5,3,1370.0,6150000.0,4489.051094890511,1
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,Shise P,1210,2.0,3.0,55.0,2,1210.0,5500000.0,4545.454545454545,1
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,Soianal,2392,4.0,2.0,260.0,3,2392.0,26000000.0,10869.565217391304,1
Plot  Area,18-Feb,T c palya,3 Bedroom,,1500,2.0,0.0,85.0,3,1500.0,8500000.0,5666.666666666667,0
Super built-up  Area,Ready To Move,Govindraja Nagar,2 BHK,,1065,2.0,3.0,50.0,2,1065.0,5000000.0,4694.835680751174,1
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,,3100,4.0,2.0,570.0,4,3100.0,57000000.0,18387.09677419355,1
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,,1515,3.0,3.0,65.0,3,1515.0,6500000.0,4290.42904290429,1
Plot  Area,19-Dec,Sarjapura - Attibele Road,4 Bedroom,,1800,4.0,2.0,110.0,4,1800.0,11000000.0,6111.111111111111,0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MNlam G,1445,2.0,3.0,40.31,3,1445.0,4031000.0,2789.61937716263,1
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Evood S,1300,2.0,1.0,55.0,3,1300.0,5500000.0,4230.7692307692305,1
Built-up  Area,Ready To Move,Vijayanagar,2 BHK,,989,2.0,0.0,60.0,2,989.0,6000000.0,6066.734074823054,1
Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1300,2.0,1.0,85.0,2,1300.0,8500000.0,6538.461538461538,1
Super built-up  Area,18-Jul,Chandapura,3 BHK,SunceEs,1185,2.0,2.0,30.22,3,1185.0,3022000.0,2550.2109704641352,0
Plot  Area,Ready To Move,Battarahalli,5 Bedroom,,1350,3.0,1.0,110.0,5,1350.0,11000000.0,8148.148148148148,1
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1045,2.0,3.0,60.0,2,1045.0,6000000.0,5741.626794258374,1
Super built-up  Area,18-Feb,Virat Nagar,2 BHK,,1205,2.0,2.0,42.18,2,1205.0,4218000.0,3500.414937759336,0
Super built-up  Area,Ready To Move,Chennammanakere Achukattu,2 BHK,,1260,2.0,1.0,75.0,2,1260.0,7500000.0,5952.380952380952,1
Plot  Area,Ready To Move,Devanahalli Road,5 Bedroom,,1320,5.0,2.0,199.0,5,1320.0,19900000.0,15075.757575757576,1
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,,1500,2.0,2.0,125.0,3,1500.0,12500000.0,8333.333333333334,1
Super built-up  Area,18-May,Bommanahalli,3 BHK,,1250,2.0,2.0,42.5,3,1250.0,4250000.0,3400.0,0
Built-up  Area,18-Jul,"Maragondana Halli, kr puram, old madras road",2 BHK,,1199,2.0,2.0,50.0,2,1199.0,5000000.0,4170.141784820684,0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Maity W,1385,2.0,1.0,83.09,2,1385.0,8309000.0,5999.27797833935,1
Plot  Area,Ready To Move,Dhanalakshmi Layout,6 Bedroom,,1222,5.0,3.0,250.0,6,1222.0,25000000.0,20458.265139116203,1
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1149,2.0,1.0,75.0,2,1149.0,7500000.0,6527.415143603133,1
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2180,3.0,2.0,170.0,3,2180.0,17000000.0,7798.165137614679,1
Super built-up  Area,Ready To Move,Jp nagar 8th Phase .,10 BHK,,12000,12.0,3.0,525.0,10,12000.0,52500000.0,4375.0,1
Plot  Area,Ready To Move,Thurahalli,5 Bedroom,Jalot C,1200,5.0,0.0,195.0,5,1200.0,19500000.0,16250.0,1
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,NiarkHy,1818,3.0,1.0,135.0,3,1818.0,13500000.0,7425.742574257426,1
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,,1070,2.0,2.0,33.0,2,1070.0,3300000.0,3084.11214953271,1
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,241.0,3,1640.0,24100000.0,14695.121951219513,1
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1350,2.0,2.0,54.6,3,1350.0,5460000.0,4044.4444444444443,1
Built-up  Area,Ready To Move,Chandapura,2 BHK,,630,1.0,1.0,27.0,2,630.0,2700000.0,4285.714285714285,1
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1430,2.0,2.0,113.0,2,1430.0,11300000.0,7902.097902097902,0
Super built-up  Area,Ready To Move,Nagavara,3 BHK,,2430,4.0,3.0,180.0,3,2430.0,18000000.0,7407.407407407408,1
Plot  Area,Ready To Move,Nobo Nagar,6 Bedroom,,1500,7.0,3.0,220.0,6,1500.0,22000000.0,14666.666666666666,1
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Clell D,1084,2.0,3.0,55.0,2,1084.0,5500000.0,5073.8007380073805,1
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Koagati,1186,2.0,1.0,56.0,3,1186.0,5600000.0,4721.753794266442,1
Built-up  Area,Ready To Move,Kengeri,2 BHK,Vaens G,1255,2.0,2.0,50.0,2,1255.0,5000000.0,3984.06374501992,1
Super built-up  Area,Ready To Move,Haralur Road,4 BHK,SoronSa,3400,5.0,3.0,240.0,4,3400.0,24000000.0,7058.823529411765,1
Super built-up  Area,18-Dec,Hosa Road,3 BHK,Mahesr ,1541,3.0,1.0,69.84,3,1541.0,6984000.0,4532.121998702141,0
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5.0,1.0,282.0,4,3596.0,28200000.0,7842.046718576195,1
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,NaonySy,1295,2.0,2.0,70.0,2,1295.0,7000000.0,5405.405405405405,1
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,,1000,4.0,3.0,110.0,3,1000.0,11000000.0,11000.0,1
Built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2820,3.0,2.0,285.0,3,2820.0,28500000.0,10106.382978723404,1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,SrncyRe,1370,2.0,2.0,54.79,3,1370.0,5479000.0,3999.2700729927005,1
Super built-up  Area,Ready To Move,Electronic City,2 BHK,DSgmax ,1100,2.0,1.0,40.0,2,1100.0,4000000.0,3636.3636363636365,1
Super built-up  Area,18-Apr,Hebbal,4 BHK,Emceske,4772,6.0,2.0,510.0,4,4772.0,51000000.0,10687.34283319363,0
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Brway G,1370,2.0,1.0,170.0,2,1370.0,17000000.0,12408.759124087592,1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1370,2.0,1.0,54.79,3,1370.0,5479000.0,3999.2700729927005,1
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSillto,1200,2.0,2.0,62.0,2,1200.0,6200000.0,5166.666666666667,1
Plot  Area,Ready To Move,Gunjur,4 Bedroom,,2000,3.0,0.0,95.0,4,2000.0,9500000.0,4750.0,1
Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,ImiteEl,3500,4.0,2.0,300.0,4,3500.0,30000000.0,8571.42857142857,1
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,4.0,3.0,240.0,5,1200.0,24000000.0,20000.0,1
Plot  Area,Ready To Move,Kengeri,4 Bedroom,,2400,5.0,2.0,253.0,4,2400.0,25300000.0,10541.666666666666,1
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1220,3.0,2.0,62.0,3,1220.0,6200000.0,5081.9672131147545,1
Built-up  Area,Ready To Move,Kanakapura Road,3 Bedroom,,1950,3.0,2.0,130.0,3,1950.0,13000000.0,6666.666666666667,1
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1178,2.0,3.0,73.0,2,1178.0,7300000.0,6196.9439728353145,1
Super built-up  Area,Ready To Move,Dasanapura,3 BHK,Tavenew,1286,3.0,2.0,61.44,3,1286.0,6144000.0,4777.604976671851,1
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,42.0,2,1160.0,4200000.0,3620.689655172414,1
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2.0,2.0,55.0,2,918.0,5500000.0,5991.285403050109,1
Super built-up  Area,21-Dec,Electronic City,3 BHK,KonteiT,1563,3.0,2.0,91.84,3,1563.0,9184000.0,5875.879718490083,0
Super built-up  Area,18-Nov,Govindpura,2 BHK,,1326,2.0,1.0,62.17,2,1326.0,6217000.0,4688.536953242836,0
Super built-up  Area,Ready To Move,3rd Block Jayanagar,3 BHK,,1350,2.0,2.0,140.0,3,1350.0,14000000.0,10370.37037037037,1
Super built-up  Area,17-Dec,Hebbal,4 BHK,Cehosy ,3960,5.0,3.0,386.0,4,3960.0,38600000.0,9747.474747474747,0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,39.06,2,1240.0,3906000.0,3150.0,1
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,JaaldEm,1325,2.0,2.0,50.0,2,1325.0,5000000.0,3773.5849056603774,1
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Whosone,1100,2.0,1.0,44.0,2,1100.0,4400000.0,4000.0,1
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,Lelia M,3875,3.0,2.0,800.0,3,3875.0,80000000.0,20645.16129032258,1
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,Mauner ,1605,3.0,2.0,50.0,3,1605.0,5000000.0,3115.264797507788,1
Super built-up  Area,Ready To Move,Hennur Road,5 BHK,,5600,5.0,3.0,515.0,5,5600.0,51500000.0,9196.42857142857,1
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Srhts P,1260,2.0,1.0,60.0,2,1260.0,6000000.0,4761.9047619047615,1
